provider,region,product,storage_class,machines,runs,fsync_p999_us_median,fsync_p999_us_worst,price_eur_month,cat_disk,cat_cpu,cat_ram,cat_network,prof_postgres_oltp,prof_timescale_ingest,prof_patroni_member,prof_redis_sentinel,prof_worker_probe,prof_playwright_node,prof_nuxt_ssr
hetzner,fsn-1,CPX32,net-fast,1,1,,4423.68,42.23,C,F,B,D,C,C,F,F,F,F,F
hetzner,hel-1,CPX32,net-fast,1,1,,3686.4,42.23,C,B,A,B,C,C,C,C,B,C,B
hetzner,nbg-1,CPX32,local-nvme,1,1,,569.34,42.23,B,B,A,A,B,A,B,B,B,C,B
netcup,nue,RS-1000-G12,net-fast,1,3,1630.21,1794.05,17.7,B,B,A,F,B,B,B,B,F,F,B
ovh,eu-south-mil-b,c3-8,net-fast,1,1,,667.65,65.52,C,B,A,A,C,B,A,A,B,C,A
ovh,frankfurt-de1,c3-8,net-fast,1,1,,1581.06,65.52,C,C,A,A,C,C,B,B,C,C,B
ovh,prg,vps-1-lz-2026,net-slow,1,1,,15400.96,7.49,D,B,A,A,D,D,D,D,B,C,B
ovh,waw,vps-1-lz-2026,net-fast,1,1,,2998.27,7.49,C,F,C,A,C,C,F,F,F,F,F
ovh,zrh,vps-1-lz-2026,net-slow,1,1,,11206.66,7.49,D,B,A,A,D,D,D,D,B,C,B
upcloud,de-fra1,CLOUDNATIVE-2xCPU-4GB-storage-standard-25GB,net-fast,1,1,,21626.88,20.59,D,B,A,D,D,D,D,D,D,D,B
upcloud,de-fra1,STARTER-4xCPU-8GB,net-fast,1,1,,4620.29,20.0,D,D,A,B,D,D,D,D,D,D,D
upcloud,dk-cph1,CLOUDNATIVE-2xCPU-4GB-storage-standard-25GB,net-fast,1,1,,19791.87,20.59,D,B,A,A,D,D,D,D,B,D,A
windcloud,enge-sande,VPS-L,net-slow,1,3,208666.62,242221.06,19.0,F,F,B,A,F,F,F,F,F,F,F
